id,pop,sample_id,sp
ID01,sharjah,RRY165,Rhina_ancylostoma
ID02,abudhabi,RRY2040,Rhina_ancylostoma
ID03,abudhabi,RRY2548,Rhina_ancylostoma
ID04,sharjah,RRY2980,Rhina_ancylostoma
ID05,abudhabi,RRY3190,Rhina_ancylostoma
ID06,sharjah,RRY3572,Rhina_ancylostoma
ID07,sharjah,RRY3789,Rhina_ancylostoma
ID08,sharjah,RRY3900,Rhina_ancylostoma
ID09,sharjah,RRY4026,Rhina_ancylostoma
ID10,rak,RRY4293,Rhina_ancylostoma
ID11,sharjah,RRY4884,Rhina_ancylostoma
ID12,rak,RRY5219,Rhina_ancylostoma
ID13,sharjah,RRY6193,Rhina_ancylostoma
ID14,abudhabi,RRY6209,Rhina_ancylostoma
ID15,abudhabi,RRY6249,Rhina_ancylostoma
ID16,sharjah,RRY6289,Rhina_ancylostoma
ID17,sharjah,RRY6308,Rhina_ancylostoma
ID18,abudhabi,RRY6429,Rhina_ancylostoma
ID19,abudhabi,RRY6450,Rhina_ancylostoma
ID20,oman_salalah,RRY6531,Rhina_ancylostoma
ID21,saudiarabia_alqunfudha,3000,Rhina_ancylostoma
ID22,srilanka,G173,Rhina_ancylostoma
ID23,srilanka,B210,Rhina_ancylostoma
ID24,srilanka,B330,Rhina_ancylostoma
ID25,srilanka,G725,Rhina_ancylostoma
ID26,oman_salalah,RRY223,Rhina_ancylostoma
ID27,sharjah,RRY6194,Rhina_ancylostoma
ID28,saudiarabia_jeddah,404,Rhina_ancylostoma
ID29,srilanka,G470,Rhina_ancylostoma
ID30,bangladesh,Rhina01,Rhina_ancylostoma
ID31,bangladesh,Rhina02,Rhina_ancylostoma
ID32,bangladesh,Rhina03,Rhina_ancylostoma
ID33,oman_salalah,RRY164,Rhina_ancylostoma
ID34,oman_salalah,RRY222,Rhina_ancylostoma
ID35,oman_salalah,RRY225,Rhina_ancylostoma
ID36,oman_sohar,RRY859,Rhina_ancylostoma
ID37,oman_salalah,RRY1831,Rhina_ancylostoma
ID38,abudhabi,RRY2039,Rhina_ancylostoma
ID39,sharjah,RRY2182,Rhina_ancylostoma
ID40,abudhabi,RRY3160,Rhina_ancylostoma
ID41,abudhabi,RRY3161,Rhina_ancylostoma
ID42,abudhabi,RRY3162,Rhina_ancylostoma
ID43,sharjah,RRY3275,Rhina_ancylostoma
ID44,sharjah,RRY3901,Rhina_ancylostoma
ID45,sharjah,RRY4885,Rhina_ancylostoma
ID46,oman_salalah,RRY5872,Rhina_ancylostoma
ID47,oman_salalah,RRY5891,Rhina_ancylostoma
ID48,oman_shinas,RRY6037,Rhina_ancylostoma
ID49,sharjah,RRY6084,Rhina_ancylostoma
ID50,oman_salalah,RRY6149,Rhina_ancylostoma
ID51,abudhabi,RRY6275,Rhina_ancylostoma
ID52,sharjah,RRY6290,Rhina_ancylostoma
ID53,dubai,RRY6331,Rhina_ancylostoma
ID54,sharjah,RRY6348,Rhina_ancylostoma
ID55,sharjah,RRY6349,Rhina_ancylostoma
ID56,sharjah,RRY6350,Rhina_ancylostoma
ID57,sharjah,RRY6477,Rhina_ancylostoma
ID58,sharjah,RRY6478,Rhina_ancylostoma
ID59,rak,RRY6494,Rhina_ancylostoma
ID60,saudiarabia_alqunfudha,597A,Rhina_ancylostoma
ID61,saudiarabia_jizan,1442,Rhina_ancylostoma
ID62,srilanka,B237,Rhina_ancylostoma
ID63,srilanka,B242,Rhina_ancylostoma
ID64,srilanka,B564,Rhina_ancylostoma
ID65,srilanka,G1384,Rhina_ancylostoma
ID66,srilanka,R716,Rhina_ancylostoma
ID67,bangladesh,CB370_GF,Rhina_ancylostoma
ID68,bangladesh,CB390_GF,Rhina_ancylostoma
ID69,bangladesh,2174,Rhina_ancylostoma
